ID,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_n,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_n,Q12,Q13,Q14,A1,A2,A3,A4,A5,A6_1,A6_2,A6_3,A6_4,A6_5,A7_1,A7_2,A7_3,A7_4,A7_5,A7_6,A7_7,A7_8,A7_9,A7_n,A8_1,A8_2,A8_3,A8_4,A8_5,A9,A10_1,A10_2,B1,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_n,B3_1,B3_2,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_n,B5,B6_1,B7,B8_1,B8_2,B8_3,B8_4,B8_5,B9_1,B9_2,B9_3,B9_4,B10_1,B10_2,B10_3,B10_4,B10_5,B11_1,B11_2,C1,C2,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_10,C4_11,C4_n,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C5_7,C5_n,C6_1,C6_2,C6_3,C6_4,C6_5,C7,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C8_7,C8_n,C9,C10_1,C10_2,F1,F2,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F3_n,F4,F5,F6,F7,F8,F9
300011,9,2,5,2,50,21,3,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,2,2,5,5,3,5,3,3,3,4,4,3,0,0,0,0,0,0,0,1,0,3,1,2,2,2,2,1,5,5,5,5,5,0,0,0,0,0,0,1,0,2,3,2,2,2,1,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,2,3,4,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,3,23,1,1,1,4,4,4,3,2,3,1,2,1,2,2,2,5,5,1,2,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,3,5,5,5,5,2,0,0,1,0,0,0,0,0,1,2,3,1,2,1,0,0,0,0,0,0,0,0,1,2,5,4,,
300012,7,2,5,3,50,13,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,0,0,1,0,0,0,1,0,0,3,1,2,2,2,2,2,5,5,4,4,2,1,0,0,0,0,0,0,0,3,3,4,3,3,3,2,1,2,3,3,1,2,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,3,3,3,4,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,3,2,2,2,3,3,3,3,3,1,2,1,2,2,1,2,2,5,2,1,2,1,,,,,,,,,,,,,1,0,1,0,0,0,0,0,3,3,2,3,3,2,0,0,0,0,1,0,0,0,3,2,3,1,2,1,0,0,0,0,0,0,0,0,1,2,7,2,6,9
300013,6,1,3,1,100,28,1,1,2,1,1,2,3,2,2,2,2,2,3,4,3,2,2,3,3,2,2,2,2,2,1,2,3,2,2,0,0,0,0,0,0,0,1,0,1,2,2,2,2,2,1,5,5,5,4,4,0,0,0,0,0,0,1,0,2,2,2,1,2,2,2,1,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,5,4,5,5,6,3,3,5,5,0,0,0,0,0,1,0,2,3,0,0,0,0,0,1,0,3,30,1,1,3,4,2,3,5,2,2,1,1,1,2,1,1,2,2,1,1,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,3,5,5,5,5,2,1,1,1,0,0,0,0,0,2,2,4,1,4,1,1,0,0,0,0,0,0,0,1,3,9,1,1,2
300014,6,1,5,2,50,1,2,3,4,4,2,2,3,3,2,4,3,4,3,3,2,2,2,3,2,2,4,4,2,1,3,3,4,3,4,0,0,0,0,0,0,0,1,0,3,1,2,2,2,2,3,3,5,4,5,5,1,0,1,1,0,0,0,0,2,3,4,1,2,2,2,1,1,4,1,2,1,0,0,1,0,0,0,0,0,0,0,3,1,4,4,5,2,4,3,5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,4,1,1,2,2,3,2,2,2,1,2,1,2,1,2,1,2,3,3,1,1,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,4,5,2,5,3,2,0,1,0,0,1,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,0,1,3,4,1,5,4
300015,2,1,5,4,60,27,2,2,2,3,3,3,3,3,3,2,3,2,3,4,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,0,0,0,0,0,0,1,0,0,4,2,2,2,2,2,2,4,5,5,1,4,1,0,0,0,0,0,0,0,2,3,4,3,3,3,2,1,2,3,2,1,1,0,0,0,0,0,0,0,1,0,0,4,3,5,3,5,4,3,4,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,4,27,3,3,3,3,3,2,2,1,1,1,1,1,1,1,2,3,2,1,1,1,,,,,,,,,,,,,1,1,1,0,0,0,0,0,4,5,5,5,5,2,0,0,0,0,1,0,0,0,1,1,1,2,1,,,,,,,,,,4,2,5,1,1,5
300016,10,1,5,1,40,40,2,2,1,4,1,1,2,2,2,4,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,4,5,4,3,1,0,0,0,0,0,0,0,0,4,1,2,1,2,2,1,4,5,4,4,2,1,0,0,0,0,0,0,0,1,4,5,1,1,2,1,1,99,99,2,3,99,0,0,0,1,0,0,0,1,0,0,3,1,7,1,4,1,2,5,2,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,4,40,1,3,3,4,1,4,5,1,5,99,2,1,1,1,1,2,4,1,1,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,4,4,5,5,5,2,1,0,0,1,1,1,0,0,1,2,4,1,2,1,0,0,0,0,0,0,0,0,1,2,6,4,,
300017,7,2,5,5,70,27,4,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,2,3,2,3,3,4,4,3,0,0,0,0,0,0,0,1,0,3,1,2,2,2,2,5,3,5,5,4,1,1,0,0,0,0,0,0,0,2,1,3,2,1,1,2,1,3,1,2,2,2,0,1,0,0,0,0,0,1,0,0,4,4,6,6,2,3,3,4,2,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,27,3,2,2,4,4,4,5,1,3,1,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2,5,2,5,3,2,1,0,0,0,0,0,0,0,1,3,4,1,3,1,0,1,0,0,0,0,0,0,1,2,8,2,2,3
300018,2,2,2,4,30,24,2,2,2,3,2,5,5,3,5,5,4,3,4,5,5,2,3,1,2,3,2,3,2,1,1,3,3,1,3,1,0,1,1,0,1,0,0,0,5,2,2,2,2,2,2,3,5,5,5,5,1,0,0,0,0,0,0,0,2,2,3,2,2,1,2,4,1,99,99,99,99,0,0,0,0,0,0,0,0,1,0,1,2,4,1,5,3,4,4,3,0,0,0,0,0,1,0,2,3,0,0,0,0,0,1,0,4,27,1,4,3,4,2,3,5,2,2,1,2,1,2,2,2,4,3,1,1,1,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,5,4,5,2,2,0,1,0,0,0,0,0,0,3,2,2,1,4,1,1,0,0,0,0,0,0,0,1,3,7,1,1,3
300019,6,2,4,2,30,5,2,2,3,4,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,5,5,5,0,0,0,0,0,0,0,1,0,5,2,2,2,2,2,1,5,5,5,5,5,1,0,0,0,0,0,0,0,1,2,3,1,1,1,1,4,1,3,2,1,1,0,0,0,0,0,0,0,0,1,0,6,4,2,4,4,1,4,5,5,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,4,5,2,2,2,4,3,2,3,2,2,1,1,1,2,1,3,4,4,1,1,1,,,,,,,,,,,,,1,1,1,1,0,1,0,0,5,5,5,5,5,2,1,0,0,0,0,1,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,1,3,10,1,1,2
300020,8,2,2,3,50,38,3,3,4,4,3,4,4,4,5,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,5,1,0,0,0,0,0,1,0,0,3,1,2,2,2,2,1,5,5,5,5,5,1,1,0,1,0,0,0,0,3,3,3,2,3,1,2,1,2,5,4,1,2,0,0,1,0,0,0,0,1,0,0,1,4,4,3,7,2,2,3,1,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,38,1,3,2,2,2,4,1,1,2,1,2,2,1,2,1,3,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,3,4,3,4,4,2,0,1,1,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,2,1,8,1,1,5
300021,7,2,5,4,25,15,4,3,2,5,4,2,4,1,2,3,3,1,2,3,1,2,3,1,2,3,2,3,2,2,2,3,4,2,3,1,0,0,0,0,0,0,0,0,5,1,2,2,2,2,1,5,5,5,5,3,1,0,1,0,0,0,0,0,3,2,3,1,2,2,3,2,1,3,2,1,3,0,0,0,0,0,0,0,0,1,0,2,2,4,3,6,1,3,4,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4,15,1,1,1,4,4,2,3,2,1,1,3,3,2,3,2,3,3,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,2,5,2,5,2,1,1,1,0,0,0,1,0,0,1,1,2,2,1,,,,,,,,,,1,2,6,1,5,9
300022,9,1,5,3,30,15,3,1,1,4,1,2,2,1,3,2,3,1,2,1,2,2,2,3,3,4,3,2,3,1,5,5,5,3,3,1,0,1,0,0,0,0,0,0,4,2,2,2,2,2,5,4,5,5,4,5,1,1,0,0,1,1,0,0,2,2,4,2,2,1,2,1,1,4,2,2,2,0,0,1,1,0,0,0,0,0,0,3,2,4,5,5,1,5,5,1,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,2,15,2,99,99,99,1,99,4,2,2,1,2,2,1,2,1,3,3,1,1,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,4,5,5,5,3,2,1,1,0,1,0,0,0,0,2,1,3,1,7,1,0,1,0,0,0,1,0,0,1,2,6,1,6,5
300023,10,1,5,1,30,25,1,1,1,3,1,1,1,1,1,1,2,2,2,2,1,3,3,1,1,2,1,1,3,1,3,3,5,3,5,1,0,1,0,0,1,0,0,0,3,1,2,2,2,2,1,5,5,5,5,4,1,1,1,0,1,0,0,0,2,2,4,1,1,2,3,1,2,2,2,1,99,0,0,1,0,0,0,0,0,0,0,1,1,1,1,5,2,3,5,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,4,25,2,1,1,2,1,4,5,1,2,1,1,3,1,1,1,4,4,1,1,1,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,5,1,5,5,1,1,1,1,1,1,1,0,0,1,2,4,3,2,0,0,0,0,1,0,0,0,0,2,1,5,1,5,4
300024,8,1,2,2,45,8,4,3,3,4,2,3,4,3,4,2,3,2,3,2,3,2,4,3,3,3,2,4,5,3,2,2,4,3,3,0,0,0,0,0,0,0,1,0,4,2,2,2,2,2,1,4,5,5,5,5,1,0,0,0,0,0,0,0,2,3,4,1,2,3,3,2,1,3,3,3,1,0,0,0,1,0,0,0,0,0,0,3,3,4,3,5,2,2,4,5,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,3,5,1,2,1,,,,,,,,,,,,,1,1,1,0,1,0,0,0,4,5,5,5,5,2,1,1,0,0,0,1,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,2,1,7,1,1,8
300025,10,2,5,1,70,44,1,1,1,1,1,2,3,4,4,3,3,2,3,3,2,1,2,2,3,2,2,2,2,2,2,3,4,4,3,0,1,0,0,1,0,1,0,0,2,2,2,2,2,2,5,3,5,4,4,2,1,0,0,0,0,0,0,0,1,3,2,3,3,3,3,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,3,4,5,5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,3,44,4,1,4,4,1,4,4,1,1,1,3,1,2,2,2,3,3,1,2,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,2,2,2,4,4,2,1,1,1,0,0,0,0,0,2,3,3,1,4,1,0,1,0,0,0,1,0,0,3,1,8,4,,
300026,10,2,5,2,15,43,3,2,2,4,1,2,3,1,2,2,2,2,2,1,1,2,3,3,3,5,3,2,5,2,5,4,4,3,2,1,0,0,0,0,0,0,0,0,4,1,2,1,2,1,1,5,5,5,5,5,1,0,1,0,0,0,0,0,2,2,3,1,1,1,2,1,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,1,4,3,3,3,4,5,5,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,3,22,1,1,4,2,2,4,4,2,1,1,1,1,1,1,1,3,2,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,2,5,4,5,1,2,1,1,0,1,0,0,0,0,2,2,2,1,3,1,0,1,0,0,0,0,0,0,1,1,8,2,3,3
300027,9,1,5,1,50,10,3,2,2,3,2,2,2,3,3,3,2,1,2,1,2,2,3,3,3,2,2,2,3,3,3,4,4,3,4,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,1,4,5,5,5,4,1,1,0,0,0,0,0,0,2,2,3,2,2,2,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,4,2,2,4,1,1,5,3,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,3,10,1,1,1,3,3,3,5,2,5,2,2,1,1,2,1,3,3,1,2,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,3,5,4,5,5,2,1,0,0,0,0,0,0,0,2,2,3,1,5,1,0,1,1,0,0,0,0,0,99,3,7,1,4,2
300028,6,1,3,2,30,15,4,2,1,4,2,1,1,1,1,3,2,2,1,2,2,2,2,3,4,4,3,3,2,2,4,4,5,3,3,0,0,0,0,0,1,0,0,0,4,1,2,1,2,2,3,4,5,5,5,5,1,0,0,0,0,0,0,0,2,2,4,2,2,2,2,1,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,2,4,4,3,2,1,2,5,4,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,15,1,1,1,4,4,4,3,2,1,1,2,2,1,2,1,3,3,1,1,1,,,,,,,,,,,,,1,1,1,1,0,0,0,0,2,5,2,5,2,1,1,0,0,1,1,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,2,1,3,2,3,3
300029,6,1,3,1,70,1,3,2,2,2,1,1,4,1,2,2,1,3,3,4,3,1,1,3,4,2,2,2,2,3,3,3,4,4,3,0,0,0,0,0,0,1,0,0,3,2,2,2,2,2,1,5,5,5,5,5,1,0,0,0,0,0,0,0,2,1,3,2,2,1,3,4,2,3,3,2,2,0,0,0,0,0,0,0,0,1,0,4,3,3,3,6,1,5,5,3,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,2,1,1,1,1,3,4,4,3,1,2,1,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,4,2,5,5,2,0,0,0,0,0,0,1,0,1,1,1,1,5,1,1,0,0,0,0,0,0,0,1,3,7,1,1,3
300030,10,2,5,2,40,27,5,3,3,5,1,2,3,2,2,2,2,1,2,2,2,4,4,3,3,5,5,2,3,1,4,4,5,4,2,0,0,0,0,0,0,1,0,0,3,1,2,2,2,1,1,5,5,5,5,5,0,1,0,0,0,0,0,0,2,3,3,3,3,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,1,0,1,4,4,4,1,2,4,4,4,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,3,3,2,2,2,99,2,1,2,1,,,,,,,,,,,,,1,1,1,0,0,0,0,0,1,5,5,5,1,2,1,1,1,1,1,0,0,0,2,2,3,3,1,,,,,,,,,,1,2,3,4,,
300031,10,2,4,1,40,1,1,2,2,5,1,2,3,2,3,2,2,2,3,3,2,2,2,2,2,3,4,2,3,1,3,3,4,5,4,0,0,0,0,0,0,0,1,0,3,2,2,2,2,2,3,5,5,5,5,5,0,0,0,0,0,0,1,0,2,4,3,2,2,1,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,1,0,1,2,4,2,6,1,2,4,4,0,0,0,0,0,1,0,4,2,0,0,0,0,0,1,0,4,1,2,2,2,4,3,3,4,2,4,2,1,3,1,1,1,4,4,1,1,1,,,,,,,,,,,,,1,1,0,1,0,0,0,0,3,5,4,5,5,2,0,1,0,0,0,0,0,0,1,1,3,2,2,0,0,0,1,0,0,0,0,0,1,2,6,1,5,9
300032,8,2,3,1,60,8,2,2,2,3,2,2,2,3,4,2,3,2,3,4,2,2,2,3,3,1,1,1,1,1,2,2,3,3,4,0,0,0,1,0,0,0,0,0,2,1,1,2,2,2,1,5,5,4,4,3,1,0,0,0,0,0,0,0,2,4,3,3,3,1,2,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,3,5,2,5,4,4,5,1,0,0,0,0,0,1,0,2,3,0,1,0,0,1,0,0,4,8,3,2,4,4,2,3,4,3,3,2,2,2,1,2,2,5,5,2,1,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,2,5,3,5,5,2,1,1,1,1,0,0,0,0,2,3,3,1,5,1,1,0,0,0,0,0,0,0,1,3,9,2,3,3
300033,10,2,5,1,60,46,2,2,2,3,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,4,3,4,3,2,3,2,4,2,3,1,0,0,0,0,0,1,0,0,3,1,1,2,2,2,1,5,5,5,5,5,1,0,0,0,0,0,0,0,1,3,3,2,3,3,2,1,1,2,3,1,99,0,0,0,0,0,0,0,0,1,0,2,3,4,4,4,3,4,5,3,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,4,46,1,1,2,4,4,4,4,1,1,99,2,1,2,2,2,5,2,1,3,1,,,,,,,,,,,,,1,1,1,0,0,0,0,0,2,4,1,5,1,2,0,0,0,0,0,1,0,0,2,1,4,1,2,1,0,0,0,0,0,0,0,0,1,1,7,1,6,4
